87, 169, 564
87, 169, 576
87, 169, 588
87, 172, 600
87, 172, 612
87, 182, 624
87, 182, 636
87, 204, 648
90, 231, 660
103, 264, 672
103, 264, 684
115, 285, 696
124, 299, 708
124, 299, 720
137, 309, 732
154, 314, 744
167, 314, 756
167, 314, 768
186, 307, 780
208, 280, 792
208, 280, 804
229, 220, 816
236, 163, 828
237, 107, 840
237, 107, 852
230, 59, 864
218, 36, 876
218, 36, 888
200, 14, 900
181, 3, 912
165, 0, 924
165, 0, 936
151, 0, 948
140, 8, 960
134, 16, 972
134, 16, 984
128, 26, 996
124, 37, 1008
124, 37, 1020
122, 48, 1032
121, 61, 1044
121, 69, 1056
121, 69, 1068
121, 79, 1080
121, 91, 1092
121, 91, 1104
121, 91, 1116
121, 91, 1128
-1, -1, -1
